Player,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,GfM,Won,Lost,Draw,%
VNBS Uva (Port),2003-2016,101,94,7,65,13,0,0,0,0,39,57,5,41.08
BR Youngs (Eng/Lions),2010-2020,101,78,23,70,14,0,0,0,0,69,30,2,69.3
VN Calafeteanu (Rom),2004-2019,100,54,46,233,11,32,37,1,0,61,37,2,62
AM Garbuzov (Russ),2005-2020,100,76,24,40,8,0,0,0,0,45,54,1,45.5
JPR Heaslip (Ire/Lions),2006-2017,100,96,4,65,13,0,0,0,0,52,44,4,54
AR Jones (Lions/Wales),2003-2014,100,88,12,10,2,0,0,0,0,49,48,3,50.5
JM Muliaina (NZ),2003-2011,100,95,5,170,34,0,0,0,0,84,16,0,84
RA Simmons (Aust),2010-2019,100,58,42,15,3,0,0,0,0,52,45,3,53.5
MK Hooper (Aust),2012-2019,99,93,6,95,19,0,0,0,0,48,47,4,50.5
L Malaguradze (Georg),2008-2020,99,51,48,190,6,38,25,3,0,67,30,2,68.68
WM Phillips (Lions/Wales),2003-2015,99,72,27,50,10,0,0,0,0,47,50,2,48.48
DR Cole (Eng/Lions),2010-2019,98,82,16,20,4,0,0,0,0,68,27,3,70.91
CEJ Healy (Ire),2009-2020,98,76,22,25,5,0,0,0,0,59,36,3,61.73
R Ibanez (Fra),1996-2007,98,75,23,40,8,0,0,0,0,63,34,1,64.79
RDJ Kearney (Ire/Lions),2007-2019,98,93,5,87,17,1,0,0,0,53,42,3,55.61
GP North (Lions/Wales),2010-2020,98,95,3,210,42,0,0,0,0,55,41,2,57.14
DF O'Callaghan (Ire/Lions),2003-2013,98,70,28,5,1,0,0,0,0,53,41,4,56.12
H Ono (JPN),2004-2016,98,78,20,65,13,0,0,0,0,60,35,3,62.75
PA Stringer (Ire),2000-2011,98,81,17,30,6,0,0,0,0,67,30,1,68.87
DM Hartley (Eng),2008-2018,97,72,25,20,4,0,0,0,0,66,29,2,69.07
JH Roberts (Lions/Wales),2008-2017,97,88,9,70,14,0,0,0,0,49,47,1,51.03
JJ Sexton (Ire/Lions),2009-2020,97,87,10,819,14,112,171,4,0,58,36,3,61.34
JP Wilkinson (Eng/Lions),1998-2011,97,85,12,1246,7,169,255,36,0,67,28,2,70.1
CL Charvis (Lions/Wales),1996-2007,96,84,12,110,22,0,0,0,0,43,51,2,45.83
JA Slipper (Aust),2010-2019,96,45,51,5,1,0,0,0,0,52,42,2,55.2
A Masi (Italy),1999-2015,95,82,13,65,13,0,0,0,0,23,72,0,24.21
G Nemsadze (Georg),2005-2019,95,71,24,75,15,0,0,0,0,62,32,1,65.78
CG Smith (NZ),2004-2015,94,90,4,130,26,0,0,0,0,84,9,1,89.89
V Artemyev (Russ),2009-2020,93,89,4,145,29,0,0,0,0,40,52,1,43.54
S Blanco (Fra),1980-1991,93,93,0,233,38,6,21,2,0,54,36,3,59.67
SL Halfpenny (Lions/Wales),2008-2020,93,88,5,794,14,77,190,0,0,49,44,0,52.68
KJ Beale (Aust),2009-2019,92,65,27,156,19,2,19,0,0,52,36,4,58.69
SBT Fitzpatrick (NZ),1986-1997,92,91,1,55,12,0,0,0,0,74,16,2,81.52
MO Johnson (Eng/Lions),1993-2003,92,90,2,10,2,0,0,0,0,71,19,2,78.26
GO Llewellyn (Wales),1989-2004,92,82,10,24,5,0,0,0,0,38,54,0,41.3
DG Magno (Urug),2008-2019,92,61,31,56,11,0,0,0,0,45,45,2,50
ME O'Kelly (Ire),1997-2009,92,80,12,40,8,0,0,0,0,51,41,0,55.43
CC Petre (Rom),2001-2012,92,83,9,30,6,0,0,0,0,50,40,2,55.43
AL Smith (NZ),2012-2019,92,84,8,97,19,1,0,0,0,78,10,4,86.95
R Underwood (Eng/Lions),1984-1996,92,92,0,215,50,0,0,0,0,58,32,2,64.13
NR Jenkins (Lions/Wales),1991-2002,91,84,7,1090,11,131,248,10,0,46,43,2,51.64
SM Williams (Lions/Wales),2000-2011,91,87,4,300,60,0,0,0,0,42,46,3,47.8
SUT Polota-Nau (Aust),2005-2019,90,39,51,25,5,0,0,0,0,55,31,4,63.33
M Bergamasco (Italy),2002-2012,89,82,7,256,17,12,49,0,0,22,66,1,25.28
A Creevy (Arg),2005-2019,89,59,30,15,3,0,0,0,0,26,63,0,29.21
LJ McLean (Italy),2008-2017,89,75,14,74,7,0,13,0,0,18,71,0,20.22
OCC Magne (Fra),1997-2007,89,79,10,70,14,0,0,0,0,59,28,2,67.41
JH van der Westhuizen (SA),1993-2003,89,78,11,190,38,0,0,0,0,60,28,1,67.97
LBN Dallaglio (Eng/Lions),1995-2007,88,73,15,85,17,0,0,0,0,62,24,2,71.59
CM Gal (Rom),2005-2015,88,65,23,22,4,1,0,0,0,49,37,2,56.81
R Pienaar (SA),2006-2015,88,45,43,135,8,22,17,0,0,59,27,2,68.18
F Contepomi (Arg),1998-2013,87,75,12,651,16,74,139,2,0,42,45,0,48.27
JJV Davies (Lions/Wales),2009-2019,87,84,3,80,16,0,0,0,0,49,36,2,57.47
OA Farrell (Eng/Lions),2012-2020,87,75,12,945,10,152,194,3,0,59,25,3,69.54
J Ferreira (Port),1993-2007,87,80,7,15,3,0,0,0,0,42,41,4,50.57
CL Lawes (Eng/Lions),2009-2020,87,59,28,5,1,0,0,0,0,61,24,2,71.26
JM Leguizamon (Arg),2005-2019,87,64,23,65,13,0,0,0,0,34,53,0,39.08
M Macovei (Rom),2006-2020,87,77,10,95,19,0,0,0,0,52,34,1,60.34
S Murray (Scot),1997-2007,87,84,3,15,3,0,0,0,0,31,55,1,36.2
L Arbizu (Arg),1990-2005,86,83,3,183,16,14,14,11,0,41,44,1,48.25
SWP Burger (SA),2003-2015,86,72,14,80,16,0,0,0,0,57,28,1,66.86
GJ Canale (Italy),2003-2013,86,76,10,35,7,0,0,0,0,27,58,1,31.97
JA Eales (Aust),1991-2001,86,86,0,173,2,31,34,0,0,66,18,2,77.9
RA Martin (Arg),1994-2003,86,77,9,90,18,0,0,0,0,44,41,1,51.74
GC Murray (Ire/Lions),2011-2020,86,79,7,92,15,4,3,0,0,48,34,4,58.13
JW Roff (Aust),1995-2004,86,79,7,244,30,20,18,0,0,61,23,2,72.09
D Traille (Fra),2001-2011,86,71,15,128,14,8,12,2,0,55,29,2,65.11
I Abuseridze (Georg),2000-2013,85,76,9,40,8,0,0,0,0,52,30,3,62.94
MRL Blair (Scot),2002-2012,85,49,36,35,7,0,0,0,0,33,52,0,38.82
JP Botha (SA),2002-2014,85,77,8,35,7,0,0,0,0,64,21,0,75.29
E Etzebeth (SA),2012-2019,85,80,5,15,3,0,0,0,0,51,29,5,62.94
NGA Mas (Fra),2003-2015,85,66,19,5,1,0,0,0,0,48,35,2,57.64
A Todua (Georg),2008-2020,85,75,10,70,14,0,0,0,0,53,31,1,62.94
AMMD Aguilar (Port),1999-2014,84,74,10,120,24,0,0,0,0,30,52,2,36.9
DS Care (Eng),2008-2018,84,38,46,79,14,0,0,3,0,53,29,2,64.28
MJS Dawson (Eng/Lions),1995-2006,84,59,25,111,18,6,3,0,0,53,30,1,63.69
KG Earls (Ire),2008-2020,84,74,10,150,30,0,0,0,0,50,30,4,61.9
M Landajo (Arg),2008-2018,84,58,26,35,7,0,0,0,0,27,56,1,32.73
ME Ledesma Arocena (Arg),1996-2011,84,67,17,15,3,0,0,0,0,42,41,1,50.59
S Marconnet (Fra),1998-2011,84,58,26,15,3,0,0,0,0,49,34,1,58.92
BR Smith (NZ),2009-2019,84,72,12,195,39,0,0,0,0,74,7,3,89.88
F Surugiu (Rom),2008-2020,84,56,28,30,6,0,0,0,0,53,30,1,63.69
GPJ Townsend (Lions/Scot),1993-2003,84,77,7,164,17,8,14,7,0,34,48,2,41.66
BJ Barrett (NZ),2012-2019,83,53,30,649,36,149,55,2,0,72,8,3,88.55
DR Biggar (Wales),2008-2020,83,66,17,439,6,71,82,7,0,46,35,2,56.62
C Checchinato (Italy),1990-2004,83,73,10,105,21,0,0,0,0,31,51,1,37.95
GW D'Arcy (Ire/Lions),1999-2015,83,74,9,35,7,0,0,0,0,53,28,2,65.06
AK Hore (NZ),2002-2013,83,47,36,40,8,0,0,0,0,70,11,2,85.54
L Khmaladze (Georg),2008-2020,83,65,18,53,9,4,0,0,0,55,26,2,67.46
S Perugini (Italy),2000-2011,83,53,30,0,0,0,0,0,0,20,62,1,24.69
DW Pocock (Aust),2008-2019,83,70,13,45,9,0,0,0,0,47,35,1,57.22
D Szarzewski (Fra),2004-2015,83,44,39,35,7,0,0,0,0,48,34,1,58.43
GT Dempsey (Ire),1998-2008,82,68,14,95,19,0,0,0,0,50,32,0,60.97
I Harinordoquy (Fra),2002-2012,82,66,16,65,13,0,0,0,0,52,28,2,64.63
LGP Picamoles (Fra),2008-2019,82,62,20,50,10,0,0,0,0,37,42,3,46.95
S Sutiashvili (Georg),2005-2020,82,53,29,10,2,0,0,0,0,59,21,2,73.17
MC Burke (Aust),1993-2004,81,69,12,878,29,104,174,1,0,55,25,1,68.51
CMH Gibson (Ire/Lions),1964-1979,81,80,1,112,9,7,16,6,0,31,39,11,45.06
JW Hook (Wales),2006-2015,81,50,31,352,13,46,61,4,0,36,43,2,45.67
J Kaino (NZ),2006-2017,81,76,5,60,12,0,0,0,0,68,11,2,85.18
JW Marshall (NZ),1995-2005,81,74,7,120,24,0,0,0,0,61,19,1,75.92
F Ongaro (Italy),2000-2012,81,48,33,25,5,0,0,0,0,25,55,1,31.48
H Onozawa (JPN),2001-2013,81,73,8,275,55,0,0,0,0,41,37,3,52.46
BA Retallick (NZ),2012-2019,81,67,14,25,5,0,0,0,0,72,5,4,91.35
A Carpenter (Can),2005-2017,80,61,19,85,17,0,0,0,0,29,48,3,38.12
JCGO Correia (Port),2003-2014,80,73,7,20,4,0,0,0,0,30,46,4,40
JP du Randt (SA),1994-2007,80,75,5,25,5,0,0,0,0,52,27,1,65.62
TS Dusautoir (Fra),2006-2015,80,79,1,30,6,0,0,0,0,41,37,2,52.5
TT Faletau (Lions/Wales),2011-2020,80,72,8,40,8,0,0,0,0,40,38,2,51.25
TJ Horan (Aust),1989-2000,80,80,0,140,30,0,0,0,0,59,20,1,74.37
WJ McBride (Ire/Lions),1962-1975,80,80,0,7,2,0,0,0,0,33,34,13,49.37
SA Mortlock (Aust),2000-2009,80,77,3,489,29,61,74,0,0,52,28,0,65
FN Sanchez (Arg),2010-2019,80,73,7,748,12,107,146,12,0,22,57,1,28.12
BW du Plessis (SA),2007-2015,79,50,29,55,11,0,0,0,0,55,23,1,70.25
IC Evans (Lions/Wales),1987-1998,79,79,0,161,34,0,0,0,0,34,44,1,43.67
ID Jones (NZ),1990-1999,79,75,4,42,9,0,0,0,0,59,18,2,75.94
Y Motoki (JPN),1991-2005,79,73,6,45,9,0,0,0,0,31,47,1,39.87
KJ Owens (Lions/Wales),2011-2020,79,44,35,15,3,0,0,0,0,43,34,2,55.69
DJ Peel (Lions/Wales),2001-2011,79,47,32,25,5,0,0,0,0,35,42,2,45.56
SK Warburton (Lions/Wales),2009-2017,79,71,8,25,5,0,0,0,0,39,38,2,50.63
PR Waugh (Aust),2000-2009,79,44,35,20,4,0,0,0,0,46,31,2,59.49
DJ Wilson (Aust),1992-2000,79,75,4,65,13,0,0,0,0,60,18,1,76.58
JPR Worsley (Eng/Lions),1999-2011,79,52,27,50,10,0,0,0,0,48,30,1,61.39
A Benazzi (Fra),1990-2001,78,71,7,45,9,0,0,0,0,48,30,0,61.53
K Hatakeyama (JPN),2008-2016,78,57,21,50,10,0,0,0,0,50,27,1,64.74
RP Jones (Lions/Wales),2004-2013,78,63,15,10,2,0,0,0,0,39,37,2,51.28
A Kuzin (Russ),1997-2011,78,68,10,130,26,0,0,0,0,38,37,3,50.64
CE Latham (Aust),1998-2007,78,68,10,200,40,0,0,0,0,50,26,2,65.38
JM Nava de Olano (Spain),2002-2018,78,68,10,69,6,3,11,0,0,28,46,4,38.46
PL Sporleder (Arg),1990-2003,78,72,6,70,14,0,0,0,0,41,36,1,53.2
PJ Vickery (Eng/Lions),1998-2009,78,69,9,10,2,0,0,0,0,50,28,0,64.1
MG Andrews (SA),1994-2001,77,74,3,60,12,0,0,0,0,51,24,2,67.53
GC Bulloch (Lions/Scot),1997-2005,77,71,6,20,4,0,0,0,0,26,50,1,34.41
JAW Haskell (Eng),2007-2018,77,55,22,20,4,0,0,0,0,47,28,2,62.33
NJ Hines (Scot),2000-2011,77,51,26,10,2,0,0,0,0,30,46,1,39.61
F Michalak (Fra),2001-2015,77,52,25,436,10,61,79,9,0,48,27,2,63.63
V Poparlan (Rom),2007-2020,77,50,27,55,11,0,0,0,0,48,29,0,62.33
JC Tipuric (Lions/Wales),2011-2020,77,46,31,45,9,0,0,0,0,45,31,1,59.09
JPR White (Scot),2000-2009,77,62,15,20,4,0,0,0,0,31,46,0,40.25
AJ Williams (NZ),2002-2012,77,63,14,35,7,0,0,0,0,65,11,1,85.06
T Zibzibadze (Georg),2000-2014,77,65,12,115,23,0,0,0,0,48,25,4,64.93
CR Andrew (Eng/Lions),1985-1997,76,74,2,407,2,34,87,23,0,53,21,2,71.05
JA Barclay (Scot),2007-2019,76,68,8,35,7,0,0,0,0,36,39,1,48.02
MJ Catt (Eng/Lions),1994-2007,76,63,13,142,7,16,22,3,0,50,25,1,66.44
AJ Charron (Can),1990-2003,76,76,0,44,9,0,0,0,0,40,36,0,52.63
TS Clever (USA),2003-2017,76,73,3,80,16,0,0,0,0,29,45,2,39.47
D Dominguez (Arg/Italy),1989-2003,76,75,1,1010,9,133,213,20,0,29,46,1,38.81
PF du Preez (SA),2004-2015,76,62,14,80,16,0,0,0,0,54,21,1,71.71
RS Gontineac (Rom),1995-2008,76,75,1,68,13,0,0,1,0,35,41,0,46.05
RA Hill (Eng/Lions),1997-2005,76,73,3,60,12,0,0,0,0,53,21,2,71.05
SW Hogg (Scot),2012-2020,76,75,1,115,20,0,4,1,0,36,40,0,47.36
A Khrokhin (Russ),1994-2011,76,46,30,35,7,0,0,0,0,36,38,2,48.68
GD Laidlaw (Scot),2010-2019,76,68,8,714,5,106,159,0,0,33,42,1,44.07
PMDC Leal (Port),2005-2017,76,60,16,265,5,45,50,0,0,27,44,5,38.81
LL Leivas Ballestrino (Urug),2008-2019,76,63,13,120,24,0,0,0,0,32,42,2,43.42
LFP Louw (SA),2010-2019,76,58,18,50,10,0,0,0,0,47,27,2,63.15
A Lungu (Rom),1980-1995,76,75,1,12,3,0,0,0,0,40,36,0,52.63
A Rougerie (Fra),2001-2012,76,71,5,115,23,0,0,0,0,48,27,1,63.81
MM Sagario Cagnani (Urug),2006-2019,76,53,23,5,1,0,0,0,0,32,42,2,43.42
LM Sirbu (Rom),1996-2011,76,62,14,50,10,0,0,0,0,40,34,2,53.94
SG Thompson (Eng/Lions),2002-2011,76,54,22,20,4,0,0,0,0,49,25,2,65.78
J Bonnaire (Fra),2004-2012,75,55,20,30,6,0,0,0,0,49,24,2,66.66
TM Cubelli (Arg),2010-2019,75,31,44,60,12,0,0,0,0,26,49,0,34.66
L Datunashvili (Georg),2004-2015,75,47,28,15,3,0,0,0,0,46,26,3,63.33
RD Elsom (Aust),2005-2011,75,73,2,70,14,0,0,0,0,43,30,2,58.66
M Gorgodze (Georg),2003-2019,75,69,6,135,27,0,0,0,0,46,25,4,64
JS Little (Aust),1989-2000,75,62,13,102,21,0,0,0,0,58,17,0,77.33
DP Mateus (Port),2000-2010,75,72,3,78,15,0,1,0,0,33,38,4,46.66
LE Pissarra (Port),1996-2007,75,58,17,0,0,0,0,0,0,37,35,3,51.33
F Tanaka (JPN),2008-2019,75,60,15,40,8,0,0,0,0,46,27,2,62.66
MJ Tindall (Eng),2000-2011,75,71,4,74,14,2,0,0,0,51,24,0,68
CJ van der Linde (SA),2002-2012,75,39,36,20,4,0,0,0,0,43,31,1,58
DP Wallace (Ire/Lions),2000-2011,75,68,7,60,12,0,0,0,0,45,29,1,60.66
TJ Bowe (Ire/Lions),2004-2017,74,72,2,150,30,0,0,0,0,40,32,2,55.4
LC Charteris (Wales),2004-2017,74,45,29,0,0,0,0,0,0,38,35,1,52.02
DJ Grewcock (Eng/Lions),1997-2007,74,55,19,10,2,0,0,0,0,45,28,1,61.48
G Guirado (Fra),2008-2019,74,50,24,40,8,0,0,0,0,34,38,2,47.29
JM Hernandez (Arg),2003-2017,74,66,8,176,8,20,23,9,0,33,41,0,44.59
P Ion (Rom),2003-2015,74,52,22,5,1,0,0,0,0,36,36,2,50
S Mamukashvili (Georg),2011-2020,74,44,30,45,9,0,0,0,0,48,25,1,65.54
LW Moody (Eng/Lions),2001-2011,74,59,15,50,10,0,0,0,0,46,26,2,63.51
GEA Murphy (Ire/Lions),2000-2011,74,57,17,98,18,1,1,1,0,43,29,2,59.45
L Nallet (Fra),2000-2012,74,54,20,45,9,0,0,0,0,49,24,1,66.89
JF Umaga (NZ),1997-2005,74,73,1,180,36,0,0,0,0,59,14,1,80.4
WDC Carling (Eng/Lions),1988-1997,73,73,0,54,12,0,0,0,0,53,19,1,73.28
DM Dumbrava (Rom),2002-2015,73,57,16,389,3,73,74,2,0,47,25,1,65.06
I Folau (Aust),2013-2018,73,73,0,185,37,0,0,0,0,33,37,3,47.26
JC Guscott (Eng/Lions),1989-1999,73,70,3,150,31,0,0,3,0,56,17,0,76.71
CP Hearn (Can),2008-2019,73,62,11,63,8,7,3,0,0,25,47,1,34.93
Y Jauzion (Fra),2001-2011,73,65,8,103,20,0,0,1,0,46,26,1,63.69
V Korshunov (Russ),2002-2015,73,47,26,25,5,0,0,0,0,32,39,2,45.2
I Machkhaneli (Georg),2002-2014,73,68,5,115,23,0,0,0,0,41,29,3,58.21
FE Mendez Azpillaga (Arg),1990-2004,73,67,6,70,14,0,0,0,0,33,40,0,45.2
SD Shaw (Eng/Lions),1996-2011,73,46,27,10,2,0,0,0,0,44,29,0,60.27
O Tonita (Rom),2000-2016,73,67,6,75,15,0,0,0,0,38,33,2,53.42
A Voytov (Russ),2003-2014,73,67,6,15,3,0,0,0,0,29,42,2,41.09
BE Alexander (Aust),2008-2014,72,46,26,20,4,0,0,0,0,41,29,2,58.33
MN Brown (Eng),2007-2018,72,64,8,65,13,0,0,0,0,48,24,0,66.66
SM Cronin (Ire),2009-2019,72,10,62,30,6,0,0,0,0,46,23,3,65.97
J Fourie (SA),2003-2013,72,59,13,160,32,0,0,0,0,52,20,0,72.22
V Grachev (Russ),1993-2011,72,69,3,95,19,0,0,0,0,33,37,2,47.22
DG Humphreys (Ire),1996-2005,72,44,28,560,6,88,110,8,0,37,34,1,52.08
MPT Lynagh (Aust),1984-1995,72,71,1,911,17,140,177,9,0,51,20,1,71.52
JA Paul (Aust),1998-2006,72,34,38,70,14,0,0,0,0,51,21,0,70.83
NJ Phipps (Aust),2011-2019,72,29,43,40,8,0,0,0,0,36,32,4,52.77
A Radoi (Rom),2008-2018,72,32,40,56,11,0,0,0,0,48,23,1,67.36
BA Robinson (Aust),2006-2014,72,53,19,15,3,0,0,0,0,36,34,2,51.38
M Babaev (Russ),2006-2019,71,65,6,35,7,0,0,0,0,33,37,1,47.18
NA Back (Eng/Lions),1994-2005,71,67,4,88,17,0,0,1,0,53,17,1,75.35
G Brezoianu (Rom),1996-2007,71,67,4,142,28,1,0,0,0,36,35,0,50.7
O Brouzet (Fra),1994-2003,71,57,14,10,2,0,0,0,0,46,24,1,65.49
SS Burcea (Rom),2006-2018,71,56,15,40,8,0,0,0,0,44,25,2,63.38
CPJ Califano (Fra),1994-2007,71,61,10,30,6,0,0,0,0,41,30,0,57.74
ME Corry (Eng/Lions),1997-2007,71,47,24,30,6,0,0,0,0,40,30,1,57.04
WWV Crockett (NZ),2009-2017,71,25,46,10,2,0,0,0,0,66,3,2,94.36
CP Cusiter (Lions/Scot),2004-2014,71,36,35,15,3,0,0,0,0,24,45,2,35.21
JM Fernandez Lobbe (Arg),2004-2015,71,69,2,25,5,0,0,0,0,30,40,1,42.95
BT Foley (Aust),2013-2019,71,62,9,622,16,124,97,1,0,33,35,3,48.59
JM Gaminara (Urug),2010-2019,71,66,5,36,7,0,0,0,0,34,35,2,49.29
D Gerasimov (Russ),2008-2020,71,61,10,50,10,0,0,0,0,29,42,0,40.84
SB Grimes (Scot),1997-2005,71,52,19,25,5,0,0,0,0,27,43,1,38.73
NT Little (Fiji),1996-2011,71,60,11,670,2,117,140,2,0,37,34,0,52.11
JWG Marler (Eng),2012-2020,71,51,20,0,0,0,0,0,0,46,24,1,65.49
DA Mitchell (Aust),2005-2016,71,54,17,170,34,0,0,0,0,40,29,2,57.74
AM Nieto Serra (Urug),2012-2019,71,62,9,35,7,0,0,0,0,40,30,1,57.04
MRJ Parra (Fra),2008-2019,71,45,26,370,3,47,86,1,0,37,32,2,53.52
A Pichot (Arg),1995-2007,71,69,2,60,12,0,0,0,0,34,36,1,48.59
EGE Reddan (Ire),2006-2016,71,26,45,10,2,0,0,0,0,34,35,2,49.29
JL Sadourny (Fra),1991-2001,71,66,5,86,15,0,0,4,0,46,24,1,65.49
AC Stoica (Italy),1997-2007,71,70,1,55,11,0,0,0,0,21,49,1,30.28
L Thompson (JPN),2007-2019,71,59,12,45,9,0,0,0,0,44,25,2,63.38
PAT Weepu (NZ),2004-2013,71,25,46,103,7,10,16,0,0,62,8,1,88.02
QS Cooper (Aust),2008-2017,70,50,20,154,8,27,18,2,0,42,27,1,60.71
JN du Plessis (SA),2007-2015,70,58,12,5,1,0,0,0,0,48,20,2,70
A Enciso Fernandez-Valderama (Spain),1993-2006,70,67,3,45,9,0,0,0,0,28,41,1,40.71
A Ianyushkin (Russ),2002-2015,70,49,21,116,10,9,16,0,0,31,37,2,45.71
EA Jantjies (Namib),2006-2019,70,46,24,72,3,15,8,1,0,35,34,1,50.71
KM Logan (Scot),1992-2003,70,63,7,220,13,34,29,0,0,27,40,3,40.71
KM Maggs (Ire),1997-2005,70,59,11,75,15,0,0,0,0,39,30,1,56.42
AP Mehrtens (NZ),1995-2004,70,62,8,967,7,169,188,10,0,49,19,2,71.42
G Mieres Valente (Urug),2010-2019,70,60,10,65,13,0,0,0,0,38,30,2,55.71
JPR Pietersen (SA),2006-2016,70,65,5,120,24,0,0,0,0,51,18,1,73.57
TGL Shanklin (Wales),2001-2010,70,56,14,100,20,0,0,0,0,32,36,2,47.14
JH Smith (SA),2003-2014,70,65,5,60,12,0,0,0,0,49,21,0,70
DA Toner (Ire),2010-2020,70,53,17,10,2,0,0,0,0,50,19,1,72.14
